Problem Code	 Text Size 	 Sol Size 	 Right Ans 	 Difficulty 	 Chapter 	 Chapter Code 	 Test Code
P002177	267	7165	b	2	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-04-16
P002488	236	9796	c	3	Rotation	PHY-11-JEE-07	SB-MT-04-16
P004814	8917	768	b	2	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-04-16
P003160	111	107	d	1	Units and Measurement	PHY-11-JEE-01	SB-MT-04-16
P005647	394	402	d	2	Thermal Properties of Matter	PHY-11-JEE-11	SB-MT-04-16
P005624	219	164	b	1	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-04-16
P002890	34035	550	b	3	Thermodynamics and Kinetic Theory of Gases	PHY-11-JEE-12	SB-MT-04-16
P002967	17300	1057	a	2	Mechanical Properties of Fluids	PHY-11-JEE-10	SB-MT-04-16
P002172	107	396	d	1	Motion in Two Dimensions	PHY-11-JEE-04	SB-MT-04-16
P000788	8214	310	b	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-04-16
P002158	117	189	c	1	Vectors and Application of Calculus	PHY-11-JEE-03	SB-MT-04-16
P002404	58707	502	c	2	Work, Power, Energy and Momentum	PHY-11-JEE-06	SB-MT-04-16
P002133	85	104	c	2	Motion in 1D	PHY-11-JEE-02	SB-MT-04-16
P000797	43790	49200	c	2	Dynamics of Motion	PHY-11-JEE-05	SB-MT-04-16
P003315	11499	1019	c	2	Gravitation	PHY-11-JEE-08	SB-MT-04-16
P022076	139	9959	b	1	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-04-16
P022045	177	205	a	2	Hydrogen	CHM-11-JEE-10	SB-MT-04-16
P022061	38	193	c	1	P block - I	CHM-11-JEE-12	SB-MT-04-16
P022055	223	256	b	2	S block elements	CHM-11-JEE-11	SB-MT-04-16
P002189	311	717	d	1	Basic Concepts of Chemistry	CHM-11-JEE-01	SB-MT-04-16
P022075	279	755	a	3	Ionic Equilibrium	CHM-11-JEE-08	SB-MT-04-16
P022072	168	467	b	2	Thermodynamics	CHM-11-JEE-06	SB-MT-04-16
P022050	64	266	a	2	S block elements	CHM-11-JEE-11	SB-MT-04-16
P022073	236	499	d	1	Chemical Equilibrium	CHM-11-JEE-07	SB-MT-04-16
P022067	313	361	a	2	Atomic Structure 	CHM-11-JEE-02	SB-MT-04-16
